input,output
"Hey home, turn the lights to warm in the hall, also in the study_room turn off the lights","{""hall"": {""lights"": ""warm""}, ""study_room"": {""lights"": ""off""}}"
Can you in the bathroom turn on the exhaust and Could you close the blinds in the bedroom?.,"{""bathroom"": {""exhaust"": ""on""}, ""bedroom"": {""blinds"": ""close""}}"
"Hey home, Can you deactivate the lights in the bathroom?, also disable the music_system in the living_room please. now.","{""bathroom"": {""lights"": ""off""}, ""living_room"": {""music_system"": ""off""}}"
"Hey, turn on the geyser in the bathroom please. & in the kitchen, switch on the fan.","{""bathroom"": {""geyser"": ""on""}, ""kitchen"": {""fan"": ""on""}}"
I need to disable the fan in the living_room; Please turn on the fan in the kitchen.,"{""kitchen"": {""fan"": ""on""}, ""living_room"": {""fan"": ""off""}}"
set the lights to bright in the kitchen,"{""kitchen"": {""lights"": ""bright""}}"
"Hey, switch off the exhaust in the bathroom; turn on the computer in the study_room, thanks.","{""bathroom"": {""exhaust"": ""off""}, ""study_room"": {""computer"": ""on""}}"
"I want to shut off the fan in the study_room; Hey, turn on the tv in the living_room please.; fire up the fan in the dining_room; I want the exhaust in the kitchen on. now.","{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""tv"": ""on""}, ""study_room"": {""fan"": ""off""}}"
"Kindly Can you activate the tv in the living_room?, also turn on the tv in the hall, also switch the balcony lights to bright.","{""balcony"": {""lights"": ""bright""}, ""hall"": {""tv"": ""on""}, ""living_room"": {""tv"": ""on""}}"
"Please Hey, make the hall lights dim., also Hey home, turn on the fan in the kitchen., also in the kitchen, set lights to dim.","{""hall"": {""lights"": ""dim""}, ""kitchen"": {""fan"": ""on"", ""lights"": ""dim""}}"
"I need to I want dim lights in the kitchen. and Hey, make the dining_room lights dim. now.","{""dining_room"": {""lights"": ""dim""}, ""kitchen"": {""lights"": ""dim""}}"
Can you Please set the ac to 21°C in the dining_room. & turn on the exhaust in the kitchen & power off the lights in the study_room thanks.,"{""dining_room"": {""ac"": ""21\u00b0C""}, ""kitchen"": {""exhaust"": ""on""}, ""study_room"": {""lights"": ""off""}}"
"Hey home, Hey, turn off the ac in the dining_room please. and Can you deactivate the exhaust in the kitchen? and start the fan in the kitchen thanks.","{""dining_room"": {""ac"": ""off""}, ""kitchen"": {""exhaust"": ""off"", ""fan"": ""on""}}"
"I want to Could you turn on the computer in the study_room?, then Set the tv to on in the living_room., then Kindly turn on the lights in the hall.","{""hall"": {""lights"": ""on""}, ""living_room"": {""tv"": ""on""}, ""study_room"": {""computer"": ""on""}}"
"in the balcony, switch off the lights, then I want warm lights in the dining_room., then Hey home, turn on the tv in the living_room. thanks.","{""balcony"": {""lights"": ""off""}, ""dining_room"": {""lights"": ""warm""}, ""living_room"": {""tv"": ""on""}}"
switch on the computer in the study_room,"{""study_room"": {""computer"": ""on""}}"
"in the living_room, set music to relax and Could you turn on the geyser in the bathroom? and Hey, turn off the lights in the living_room please. please.","{""bathroom"": {""geyser"": ""on""}, ""living_room"": {""lights"": ""off"", ""music_system"": ""relax""}}"
Please set dining_room lights to warm.,"{""dining_room"": {""lights"": ""warm""}}"
I want to Please set living_room lights to dim. and turn the lights to warm in the bedroom please.,"{""bedroom"": {""lights"": ""warm""}, ""living_room"": {""lights"": ""dim""}}"
"Could you in the living_room, switch on the tv; Can you activate the computer in the study_room?; Can you activate the lights in the hall?; Please set study_room lights to bright., thanks.","{""hall"": {""lights"": ""on""}, ""living_room"": {""tv"": ""on""}, ""study_room"": {""computer"": ""on"", ""lights"": ""bright""}}"
"I want to switch off the tv in the hall and adjust the lights to dim in the dining_room and Hey, turn on the fan in the dining_room please. and in the bathroom, switch on the exhaust.","{""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""fan"": ""on"", ""lights"": ""dim""}, ""hall"": {""tv"": ""off""}}"
"Please turn off the lights in the hall & Hey, close the blinds in the balcony please. & in the bathroom turn on the geyser","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""geyser"": ""on""}, ""hall"": {""lights"": ""off""}}"
"in the balcony, set lights to warm","{""balcony"": {""lights"": ""warm""}}"
"Hey, Kindly turn off the fan in the dining_room.; Could you open the blinds in the bedroom?; stop the lights in the hall please.","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""fan"": ""off""}, ""hall"": {""lights"": ""off""}}"
"Hey home, turn on the tv in the living_room.","{""living_room"": {""tv"": ""on""}}"
I need to enable the tv in the hall; fire up the geyser in the bathroom now.,"{""bathroom"": {""geyser"": ""on""}, ""hall"": {""tv"": ""on""}}"
"in the balcony, set lights to bright","{""balcony"": {""lights"": ""bright""}}"
"I want to Kindly turn on the exhaust in the kitchen., also turn the lights to dim in the study_room now.","{""kitchen"": {""exhaust"": ""on""}, ""study_room"": {""lights"": ""dim""}}"
"I need to open the blinds in the bedroom and in the living_room, set lights to dim and I want the ac in the dining_room off. now.","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""ac"": ""off""}, ""living_room"": {""lights"": ""dim""}}"
"Could you Hey home, turn off the fan in the living_room. and switch off the lights in the hall and in the hall, switch on the tv and turn off the lights in the bathroom now.","{""bathroom"": {""lights"": ""off""}, ""hall"": {""lights"": ""off"", ""tv"": ""on""}, ""living_room"": {""fan"": ""off""}}"
Activate WFH mode.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"I want to power on the computer in the study_room, then in the bathroom, switch off the lights thanks.","{""bathroom"": {""lights"": ""off""}, ""study_room"": {""computer"": ""on""}}"
"turn the lights to bright in the hall, also Could you set the lights in the balcony to bright?, also in the balcony, close the blinds, also Can you activate the exhaust in the bathroom?","{""balcony"": {""blinds"": ""close"", ""lights"": ""bright""}, ""bathroom"": {""exhaust"": ""on""}, ""hall"": {""lights"": ""bright""}}"
"Could you turn on the exhaust in the bathroom?; Hey, turn on the exhaust in the kitchen please..","{""bathroom"": {""exhaust"": ""on""}, ""kitchen"": {""exhaust"": ""on""}}"
"Kindly I want the tv in the hall on., also Set the fan to on in the dining_room., also switch on the exhaust in the bathroom","{""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""on""}}"
Set the lights to off in the living_room.; Can you deactivate the music_system in the living_room?; Could you turn on the fan in the bedroom? thanks.,"{""bedroom"": {""fan"": ""on""}, ""living_room"": {""lights"": ""off"", ""music_system"": ""off""}}"
"Hey home, Can you deactivate the ac in the bedroom?, also I want the fan in the living_room on. please.","{""bedroom"": {""ac"": ""off""}, ""living_room"": {""fan"": ""on""}}"
"I need to Could you set the ac in the dining_room to 18°C?, then stop the lights in the dining_room please. now.","{""dining_room"": {""ac"": ""18\u00b0C"", ""lights"": ""off""}}"
power off the fan in the dining_room,"{""dining_room"": {""fan"": ""off""}}"
"Hey home, start the geyser in the bathroom, then in the bedroom turn off the ac, thanks.","{""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""ac"": ""off""}}"
"Hey, Kindly turn off the fan in the dining_room. and in the kitchen turn on the exhaust and start the geyser in the bathroom and in the hall, set lights to bright now.","{""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""fan"": ""off""}, ""hall"": {""lights"": ""bright""}, ""kitchen"": {""exhaust"": ""on""}}"
power on the fan in the kitchen,"{""kitchen"": {""fan"": ""on""}}"
"in the balcony, close the blinds","{""balcony"": {""blinds"": ""close""}}"
power off the ac in the dining_room,"{""dining_room"": {""ac"": ""off""}}"
"Hey home, turn off the lights in the living_room.","{""living_room"": {""lights"": ""off""}}"
"in the balcony, open the blinds","{""balcony"": {""blinds"": ""open""}}"
"Kindly Hey, open the blinds in the balcony please., then Set the lights to on in the bathroom. please!","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""lights"": ""on""}}"
I want warm lights in the dining_room.,"{""dining_room"": {""lights"": ""warm""}}"
Set up for cooking please.,"{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"stop the fan in the kitchen, also in the bathroom, switch off the geyser, also Hey, set the bedroom ac to 19°C., thanks.","{""bathroom"": {""geyser"": ""off""}, ""bedroom"": {""ac"": ""19\u00b0C""}, ""kitchen"": {""fan"": ""off""}}"
power off the tv in the hall,"{""hall"": {""tv"": ""off""}}"
"Hey home, deactivate the tv in the living_room & fire up the geyser in the bathroom, thanks.","{""bathroom"": {""geyser"": ""on""}, ""living_room"": {""tv"": ""off""}}"
"Can you Could you turn off the lights in the balcony?, also start the tv in the living_room please.","{""balcony"": {""lights"": ""off""}, ""living_room"": {""tv"": ""on""}}"
Kindly power off the ac in the dining_room; turn off the lights in the hall please!,"{""dining_room"": {""ac"": ""off""}, ""hall"": {""lights"": ""off""}}"
"Hey, turn on the tv in the hall please.","{""hall"": {""tv"": ""on""}}"
"Hey, Can you activate the geyser in the bathroom?, also Could you set the lights in the kitchen to dim? thanks.","{""bathroom"": {""geyser"": ""on""}, ""kitchen"": {""lights"": ""dim""}}"
"I want to Please set hall lights to dim., then disable the ac in the bedroom","{""bedroom"": {""ac"": ""off""}, ""hall"": {""lights"": ""dim""}}"
"Could you turn off the lights in the balcony?, then shut off the lights in the hall","{""balcony"": {""lights"": ""off""}, ""hall"": {""lights"": ""off""}}"
Rise and shine mode.,"{""bathroom"": {""geyser"": ""on"", ""lights"": ""on""}, ""bedroom"": {""blinds"": ""open"", ""fan"": ""off"", ""lights"": ""bright""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}}"
switch on the lights in the kitchen,"{""kitchen"": {""lights"": ""on""}}"
Set the dining room for dinner.,"{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
Kindly turn on the fan in the living_room.,"{""living_room"": {""fan"": ""on""}}"
switch on the geyser in the bathroom,"{""bathroom"": {""geyser"": ""on""}}"
"Can you Could you close the blinds in the balcony?, also Could you turn off the lights in the dining_room?","{""balcony"": {""blinds"": ""close""}, ""dining_room"": {""lights"": ""off""}}"
Please turn on the fan in the living_room.,"{""living_room"": {""fan"": ""on""}}"
"in the bathroom, switch on the exhaust","{""bathroom"": {""exhaust"": ""on""}}"
"Could you in the dining_room, set ac to 19°C; Please turn on the tv in the hall.; Kindly turn on the fan in the dining_room. please.","{""dining_room"": {""ac"": ""19\u00b0C"", ""fan"": ""on""}, ""hall"": {""tv"": ""on""}}"
"Hey, Can you activate the exhaust in the bathroom?; in the study_room, switch off the lights please.","{""bathroom"": {""exhaust"": ""on""}, ""study_room"": {""lights"": ""off""}}"
Can you deactivate the tv in the hall?,"{""hall"": {""tv"": ""off""}}"
"Leaving the house, secure everything.","{""balcony"": {""lights"": ""off""}, ""bathroom"": {""exhaust"": ""off"", ""geyser"": ""off"", ""lights"": ""off""}, ""bedroom"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""dining_room"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""hall"": {""lights"": ""off"", ""tv"": ""off""}, ""kitchen"": {""exhaust"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""living_room"": {""fan"": ""off"", ""lights"": ""off"", ""music_system"": ""off"", ""tv"": ""off""}, ""study_room"": {""computer"": ""off"", ""fan"": ""off"", ""lights"": ""off""}}"
Set the lights to on in the balcony.,"{""balcony"": {""lights"": ""on""}}"
adjust the lights to dim in the living_room,"{""living_room"": {""lights"": ""dim""}}"
Unwind mode on.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
"Set the fan to on in the bedroom. and I want warm lights in the hall. and in the dining_room, switch on the ac","{""bedroom"": {""fan"": ""on""}, ""dining_room"": {""ac"": ""on""}, ""hall"": {""lights"": ""warm""}}"
"I need to Please turn on the tv in the living_room.; set the lights to warm in the kitchen; in the bathroom, switch off the lights now.","{""bathroom"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""warm""}, ""living_room"": {""tv"": ""on""}}"
Goodbye mode on.,"{""balcony"": {""lights"": ""off""}, ""bathroom"": {""exhaust"": ""off"", ""geyser"": ""off"", ""lights"": ""off""}, ""bedroom"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""dining_room"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""hall"": {""lights"": ""off"", ""tv"": ""off""}, ""kitchen"": {""exhaust"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""living_room"": {""fan"": ""off"", ""lights"": ""off"", ""music_system"": ""off"", ""tv"": ""off""}, ""study_room"": {""computer"": ""off"", ""fan"": ""off"", ""lights"": ""off""}}"
I want the fan in the bedroom on.,"{""bedroom"": {""fan"": ""on""}}"
"I need to Please open the balcony blinds., then in the bathroom turn on the geyser please. now.","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""geyser"": ""on""}}"
"I want to Please turn off the tv in the hall., then switch off the lights in the dining_room please.","{""dining_room"": {""lights"": ""off""}, ""hall"": {""tv"": ""off""}}"
"Can you power off the lights in the hall; in the dining_room turn on the fan, thanks.","{""dining_room"": {""fan"": ""on""}, ""hall"": {""lights"": ""off""}}"
turn the lights to dim in the study_room,"{""study_room"": {""lights"": ""dim""}}"
turn on the ac to 20°C in the dining_room,"{""dining_room"": {""ac"": ""20\u00b0C""}}"
set the lights to bright in the bathroom,"{""bathroom"": {""lights"": ""bright""}}"
"in the living_room turn on the tv; in the bedroom, set lights to bright thanks.","{""bedroom"": {""lights"": ""bright""}, ""living_room"": {""tv"": ""on""}}"
"Hey, make the bedroom lights dim.","{""bedroom"": {""lights"": ""dim""}}"
I want the geyser in the bathroom off.,"{""bathroom"": {""geyser"": ""off""}}"
Please open the balcony blinds.,"{""balcony"": {""blinds"": ""open""}}"
Please turn off the lights in the dining_room.,"{""dining_room"": {""lights"": ""off""}}"
"I need to Please turn on the computer in the study_room., also turn on the geyser in the bathroom please.","{""bathroom"": {""geyser"": ""on""}, ""study_room"": {""computer"": ""on""}}"
"Kindly turn off the lights in the kitchen, also enable the fan in the kitchen now.","{""kitchen"": {""fan"": ""on"", ""lights"": ""off""}}"
"Hey, turn on the fan in the bedroom please.","{""bedroom"": {""fan"": ""on""}}"
in the dining_room turn off the lights,"{""dining_room"": {""lights"": ""off""}}"
"in the kitchen, switch off the exhaust","{""kitchen"": {""exhaust"": ""off""}}"
switch off the lights in the study_room,"{""study_room"": {""lights"": ""off""}}"
Set the computer to off in the study_room.,"{""study_room"": {""computer"": ""off""}}"
turn the lights to dim in the hall,"{""hall"": {""lights"": ""dim""}}"
Set everything for movie watching.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
activate the tv in the living_room,"{""living_room"": {""tv"": ""on""}}"
"Hey, make the balcony lights bright.","{""balcony"": {""lights"": ""bright""}}"
"Kindly in the bedroom, close the blinds, also turn the lights to bright in the hall, also adjust the lights to dim in the balcony please. now.","{""balcony"": {""lights"": ""dim""}, ""bedroom"": {""blinds"": ""close""}, ""hall"": {""lights"": ""bright""}}"
deactivate the lights in the hall,"{""hall"": {""lights"": ""off""}}"
"Hey home, turn on the exhaust in the kitchen. and Can you deactivate the geyser in the bathroom?","{""bathroom"": {""geyser"": ""off""}, ""kitchen"": {""exhaust"": ""on""}}"
I want bright lights in the living_room.,"{""living_room"": {""lights"": ""bright""}}"
Start work mode.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"set the lights to warm in the balcony, then Hey, turn on the fan in the bedroom please.","{""balcony"": {""lights"": ""warm""}, ""bedroom"": {""fan"": ""on""}}"
I need to Kindly turn on the tv in the hall.; power on the computer in the study_room,"{""hall"": {""tv"": ""on""}, ""study_room"": {""computer"": ""on""}}"
Kindly power off the geyser in the bathroom & Set the lights to off in the dining_room. & stop the tv in the hall.,"{""bathroom"": {""geyser"": ""off""}, ""dining_room"": {""lights"": ""off""}, ""hall"": {""tv"": ""off""}}"
"Hey home, Hey, turn off the fan in the study_room please. & Set the geyser to on in the bathroom. & power off the music_system in the living_room","{""bathroom"": {""geyser"": ""on""}, ""living_room"": {""music_system"": ""off""}, ""study_room"": {""fan"": ""off""}}"
power off the fan in the kitchen,"{""kitchen"": {""fan"": ""off""}}"
"Could you stop the computer in the study_room, then power on the fan in the study_room, then in the bathroom turn off the lights, thanks.","{""bathroom"": {""lights"": ""off""}, ""study_room"": {""computer"": ""off"", ""fan"": ""on""}}"
"Hey, turn on the fan in the dining_room please.","{""dining_room"": {""fan"": ""on""}}"
enable the geyser in the bathroom,"{""bathroom"": {""geyser"": ""on""}}"
set the music_system to loud in the living_room,"{""living_room"": {""music_system"": ""loud""}}"
"in the hall, switch on the tv, also disable the lights in the bedroom, also Kindly turn on the lights in the hall. please.","{""bedroom"": {""lights"": ""off""}, ""hall"": {""lights"": ""on"", ""tv"": ""on""}}"
"Please Set the lights to off in the dining_room., also activate the exhaust in the bathroom.","{""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""lights"": ""off""}}"
"Kindly Could you put medium music on in the living_room?, then Could you turn on the exhaust in the kitchen? please.","{""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""music_system"": ""medium""}}"
set the lights to warm in the hall,"{""hall"": {""lights"": ""warm""}}"
fire up the exhaust in the kitchen,"{""kitchen"": {""exhaust"": ""on""}}"
Can you play medium music in the living_room & switch off the fan in the kitchen & Could you set the lights in the living_room to bright? & Could you turn off the lights in the bedroom? please. now.,"{""bedroom"": {""lights"": ""off""}, ""kitchen"": {""fan"": ""off""}, ""living_room"": {""lights"": ""bright"", ""music_system"": ""medium""}}"
Cinema mode on.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
"Could you Hey, turn off the lights in the hall please., then adjust the lights to warm in the kitchen please!","{""hall"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""warm""}}"
"Can you I want the music_system in the living_room off., also start the fan in the kitchen, also Kindly turn off the exhaust in the bathroom. please.","{""bathroom"": {""exhaust"": ""off""}, ""kitchen"": {""fan"": ""on""}, ""living_room"": {""music_system"": ""off""}}"
"I need to fire up the geyser in the bathroom & Can you activate the exhaust in the kitchen?, thanks.","{""bathroom"": {""geyser"": ""on""}, ""kitchen"": {""exhaust"": ""on""}}"
"in the hall, switch off the tv","{""hall"": {""tv"": ""off""}}"
"Kindly switch on the fan in the kitchen, also I want dim lights in the dining_room.","{""dining_room"": {""lights"": ""dim""}, ""kitchen"": {""fan"": ""on""}}"
Please Please set the ac to 22°C in the dining_room.; fire up the fan in the living_room please.,"{""dining_room"": {""ac"": ""22\u00b0C""}, ""living_room"": {""fan"": ""on""}}"
I want the geyser in the bathroom off.,"{""bathroom"": {""geyser"": ""off""}}"
"Could you I want the ac at 18°C in the dining_room. & in the bathroom, switch on the exhaust & adjust the lights to dim in the balcony","{""balcony"": {""lights"": ""dim""}, ""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""ac"": ""18\u00b0C""}}"
"Can you disable the ac in the bedroom, also Please open the balcony blinds..","{""balcony"": {""blinds"": ""open""}, ""bedroom"": {""ac"": ""off""}}"
"I need to in the hall, set lights to bright, also Please close the balcony blinds. thanks.","{""balcony"": {""blinds"": ""close""}, ""hall"": {""lights"": ""bright""}}"
"Hey home, Kindly turn off the ac in the dining_room.; power on the lights in the bathroom please!","{""bathroom"": {""lights"": ""on""}, ""dining_room"": {""ac"": ""off""}}"
"I want to I want the fan in the kitchen on., also shut off the lights in the hall now.","{""hall"": {""lights"": ""off""}, ""kitchen"": {""fan"": ""on""}}"
Set the lights to off in the bathroom.,"{""bathroom"": {""lights"": ""off""}}"
"Could you set the lights in the living_room to dim?; Hey, turn off the lights in the bathroom please. please. now.","{""bathroom"": {""lights"": ""off""}, ""living_room"": {""lights"": ""dim""}}"
"Hey, in the dining_room turn on the fan and in the kitchen turn off the exhaust thanks.","{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""off""}}"
"switch the hall lights to warm, also deactivate the lights in the dining_room, also Could you set the ac in the dining_room to 20°C? please!","{""dining_room"": {""ac"": ""20\u00b0C"", ""lights"": ""off""}, ""hall"": {""lights"": ""warm""}}"
Kindly turn on the exhaust in the bathroom.,"{""bathroom"": {""exhaust"": ""on""}}"
Please set the ac to 21°C in the bedroom.,"{""bedroom"": {""ac"": ""21\u00b0C""}}"
"I want to Please turn off the lights in the dining_room., then Hey home, turn on the geyser in the bathroom. thanks.","{""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""lights"": ""off""}}"
fire up the exhaust in the kitchen,"{""kitchen"": {""exhaust"": ""on""}}"
"I want to in the dining_room, set ac to 20°C and start the tv in the hall and power off the lights in the study_room please. now.","{""dining_room"": {""ac"": ""20\u00b0C""}, ""hall"": {""tv"": ""on""}, ""study_room"": {""lights"": ""off""}}"
"Kindly Kindly turn on the exhaust in the kitchen., then turn off the music_system in the living_room, then shut off the tv in the living_room, thanks.","{""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""music_system"": ""off"", ""tv"": ""off""}}"
switch off the fan in the bedroom,"{""bedroom"": {""fan"": ""off""}}"
Please close the balcony blinds.,"{""balcony"": {""blinds"": ""close""}}"
"in the kitchen, switch off the exhaust, also start the fan in the dining_room, also Can you deactivate the fan in the kitchen?, thanks.","{""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""off"", ""fan"": ""off""}}"
turn on the tv in the living_room & fire up the lights in the dining_room now.,"{""dining_room"": {""lights"": ""on""}, ""living_room"": {""tv"": ""on""}}"
I want dim lights in the dining_room.,"{""dining_room"": {""lights"": ""dim""}}"
"Hey, turn the lights to dim in the dining_room and in the bathroom, switch off the lights and adjust the lights to warm in the bedroom.","{""bathroom"": {""lights"": ""off""}, ""bedroom"": {""lights"": ""warm""}, ""dining_room"": {""lights"": ""dim""}}"
close the blinds in the balcony,"{""balcony"": {""blinds"": ""close""}}"
turn off the tv in the living_room,"{""living_room"": {""tv"": ""off""}}"
"I want warm lights in the hall., also in the bathroom turn off the geyser now.","{""bathroom"": {""geyser"": ""off""}, ""hall"": {""lights"": ""warm""}}"
"Can you Please open the balcony blinds., also Could you turn on the exhaust in the kitchen?.","{""balcony"": {""blinds"": ""open""}, ""kitchen"": {""exhaust"": ""on""}}"
"Hey, I want the tv in the living_room on. and switch the living_room lights to warm","{""living_room"": {""lights"": ""warm"", ""tv"": ""on""}}"
Can you Please set bathroom lights to dim. & open the blinds in the balcony & Please turn off the music_system in the living_room. now.,"{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""lights"": ""dim""}, ""living_room"": {""music_system"": ""off""}}"
"I want to in the bedroom, open the blinds; stop the lights in the balcony; Hey home, turn on the tv in the hall., thanks.","{""balcony"": {""lights"": ""off""}, ""bedroom"": {""blinds"": ""open""}, ""hall"": {""tv"": ""on""}}"
"I want to I want bright lights in the kitchen., also I want the lights in the hall on. please. now.","{""hall"": {""lights"": ""on""}, ""kitchen"": {""lights"": ""bright""}}"
"Hey, turn off the exhaust in the bathroom please.","{""bathroom"": {""exhaust"": ""off""}}"
I need to I want the fan in the bedroom on. & switch the balcony lights to bright,"{""balcony"": {""lights"": ""bright""}, ""bedroom"": {""fan"": ""on""}}"
turn the lights to bright in the hall,"{""hall"": {""lights"": ""bright""}}"
"Hey home, turn on the fan in the living_room.","{""living_room"": {""fan"": ""on""}}"
"Can you Please set bathroom lights to bright. and in the living_room, set music to medium and switch off the lights in the kitchen.","{""bathroom"": {""lights"": ""bright""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""music_system"": ""medium""}}"
Please turn off the tv in the hall.,"{""hall"": {""tv"": ""off""}}"
"Please enable the fan in the bedroom, also Hey, turn on the exhaust in the kitchen please., also play relax music in the living_room, also Kindly turn on the lights in the bathroom.","{""bathroom"": {""lights"": ""on""}, ""bedroom"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""music_system"": ""relax""}}"
Kindly turn off the lights in the bedroom.,"{""bedroom"": {""lights"": ""off""}}"
"Kindly in the dining_room turn on the fan and Hey home, turn off the lights in the living_room. now.","{""dining_room"": {""fan"": ""on""}, ""living_room"": {""lights"": ""off""}}"
"Hey home, in the dining_room turn on the fan & in the living_room, switch on the fan & Please open the bedroom blinds..","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""fan"": ""on""}, ""living_room"": {""fan"": ""on""}}"
"Could you I want dim lights in the hall., then turn the lights to dim in the dining_room, then Could you open the blinds in the bedroom?","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""lights"": ""dim""}, ""hall"": {""lights"": ""dim""}}"
"Can you Please close the balcony blinds., then set the music_system to medium in the living_room please.","{""balcony"": {""blinds"": ""close""}, ""living_room"": {""music_system"": ""medium""}}"
"I need to Hey, turn off the computer in the study_room please.; turn off the geyser in the bathroom; shut off the fan in the study_room now.","{""bathroom"": {""geyser"": ""off""}, ""study_room"": {""computer"": ""off"", ""fan"": ""off""}}"
enable the lights in the kitchen,"{""kitchen"": {""lights"": ""on""}}"
"Kindly turn on the fan in the bedroom., also Please set kitchen lights to dim., thanks.","{""bedroom"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""dim""}}"
